"id"	"yetkili"	"mudurluk"	"kayit_yetkili"	"kayit_tarihi"
"389"	"1"	"29"	"1"	"29/7/2025 15:36:58"
"390"	"1"	"12"	"1"	"29/7/2025 15:36:58"
"391"	"1"	"5"	"1"	"29/7/2025 15:36:58"
"392"	"1"	"6"	"1"	"29/7/2025 15:36:58"
"393"	"1"	"24"	"1"	"29/7/2025 15:36:58"
"394"	"1"	"14"	"1"	"29/7/2025 15:36:58"
"395"	"1"	"15"	"1"	"29/7/2025 15:36:58"
"396"	"1"	"31"	"1"	"29/7/2025 15:36:58"
"397"	"1"	"28"	"1"	"29/7/2025 15:36:58"
"398"	"1"	"11"	"1"	"29/7/2025 15:36:58"
"399"	"1"	"26"	"1"	"29/7/2025 15:36:58"
"400"	"1"	"13"	"1"	"29/7/2025 15:36:58"
"401"	"1"	"16"	"1"	"29/7/2025 15:36:58"
"402"	"1"	"3"	"1"	"29/7/2025 15:36:58"
"403"	"1"	"23"	"1"	"29/7/2025 15:36:58"
"404"	"1"	"25"	"1"	"29/7/2025 15:36:58"
"405"	"1"	"27"	"1"	"29/7/2025 15:36:58"
"406"	"1"	"30"	"1"	"29/7/2025 15:36:58"
"407"	"1"	"2"	"1"	"29/7/2025 15:36:58"
"408"	"1"	"1"	"1"	"29/7/2025 15:36:58"
"409"	"1"	"21"	"1"	"29/7/2025 15:36:58"
"410"	"1"	"10"	"1"	"29/7/2025 15:36:58"
"411"	"1"	"7"	"1"	"29/7/2025 15:36:58"
"412"	"1"	"19"	"1"	"29/7/2025 15:36:58"
"413"	"1"	"9"	"1"	"29/7/2025 15:36:58"
"414"	"1"	"17"	"1"	"29/7/2025 15:36:59"
"415"	"1"	"20"	"1"	"29/7/2025 15:36:59"
"416"	"1"	"22"	"1"	"29/7/2025 15:36:59"
"417"	"1"	"8"	"1"	"29/7/2025 15:36:59"
"418"	"1"	"18"	"1"	"29/7/2025 15:36:59"
