"id"	"mudurluk_id"	"baslik"	"dahili"
"2"	"5"	"Müdür"	"2900"
"3"	"5"	"Üst Sorumlu"	"2902"
"4"	"5"	"Sekreterlik"	"2901"
"5"	"5"	"İdari İşler"	"2913"
"6"	"5"	"Taşınır Kayıt"	"2906, 2929"
"7"	"5"	"Mali İşler"	"2943, 2960"
"8"	"5"	"Yazılım Geliştirme"	"2950"
"9"	"5"	"Uygulama Şikayet (Bridge360)"	"2945"
"11"	"5"	"Teknik Destek"	"2911, 2927, 2958"
"12"	"6"	"Sekreter"	"2601"
"13"	"6"	"İdari İşler Büro"	"2690"
"14"	"6"	"İhale Büro"	"2616"
"15"	"6"	"Güvenlik Hizmetleri ve Şirket Büro"	"2608"
"16"	"6"	"Yemekhane ve İş Ocakları Büro"	"2610"
"17"	"6"	"Taşınır Kayıt Büro"	"2613"
"18"	"6"	"Teknik İşler Büro"	"2626"
"19"	"6"	"Koordinatör"	"2641"
"20"	"6"	"Güvenlik Amirliği"	"2637"
"21"	"6"	"Otopark Amirliği"	"432 2099"
"22"	"14"	"İdari ve Mali İşler Bürosu"	"2290"
"23"	"14"	"Arsa Tahsis, Kentsel Dönüşüm Bürosu"	"2260"
"24"	"14"	"Arazi Kontrol, Harita Bürosu"	"2230"
"25"	"14"	"Emlak Kontrol Bürosu"	"2240"
"26"	"14"	"Kira ve Lojman İşleri Bürosu"	"2250"
"27"	"14"	"Kamulaştırma Bürosu"	"2280"
"28"	"14"	"Sekreterlik"	"2201"
"29"	"11"	"İdari ve Mali İşler Bürosu/Bölüm Sorumlusu"	"1381"
"30"	"11"	"İdari ve Mali İşler Bürosu/Büro Sorumlusu"	"1310"
"31"	"11"	"İdari ve Mali İşler Bürosu/Büro Personeli"	"1378, 1382"
"33"	"11"	"Dava Arşiv Bürosu/Büro Sorumlusu"	"1332"
"34"	"11"	"Dava Arşiv Bürosu/Şef"	"1380"
"35"	"11"	"Dava Arşiv Bürosu/Büro Sorumlusu/Büro Personeli"	"1320, 1356"
"38"	"11"	"İcra İşleri Bürosu/Büro Personeli"	"1341, 1342, 1343, 1383, 1384"
"43"	"11"	"Evrak Bürosu"	"1340"
"44"	"11"	"Sekreterya"	"1301, 1302"
"46"	"3"	"Müdürlük Makamı /Sekreterlik"	"1001"
"47"	"3"	"Üst Sorumlular"	"1010, 1028"
"48"	"3"	"İdari ve Mali İşler Sorumlusu"	"1025"
"49"	"3"	"İdari ve Mali  İşler Bürosu"	"1066, 1072"
"50"	"3"	"Memur Tahakkuk Bürosu"	"1030, 1034"
"51"	"3"	"Memur Atama ve Özlük İşleri Bürosu"	"1013, 1023"
"52"	"3"	"Memur Disiplin ve Mevzuat Bürosu"	"1007"
"53"	"3"	"İzin Büro"	"1011, 1006"
"54"	"3"	"Personel Hizmet Alım Bürosu"	"1041, 1044"
"55"	"3"	"İşçi Atama ve Sicil Bürosu"	"1051, 1052"
"56"	"3"	"İşçi Tahakkuk Bürosu"	"1049, 1045"
"57"	"3"	"Sendikal İlişkiler İşçi Mevzuat Bürosu"	"1067, 1068"
"58"	"3"	"İşsağlığı Güvenliği ve Eğitim Bürosu"	"1080, 1081"
"59"	"23"	"İşletme Müdürü "	"0200"
"60"	"23"	"Üst Sorumlu"	"0203"
"61"	"23"	"Sekreter"	"0201"
"62"	"23"	"İdari ve Mali İşler Büro Sorumlusu "	"0204"
"63"	"23"	"V.K.H.İ./Taşınır Kayıt Yetkilisi"	"0209"
"64"	"23"	"V.K.H.İ."	"0210, 0212, 0233"
"65"	"23"	"Büro Elemanı"	"0211, 0234"
"67"	"23"	"Çay Ocağı"	"0217"
"68"	"23"	"V.K.H.İ./Mutemet"	"0226"
"71"	"23"	"İşletme ve Şirketler Büro Sorumlusu"	"0205"
"72"	"23"	"Müdür Yard."	"0226"
"73"	"23"	"Emek Otopark (Kurum Otoparkı) Emek Otoparkı Formen"	"0220"
"74"	"23"	"Emek Otopark (Kurum Otoparkı) Otopark Vale"	"0221"
"75"	"23"	"Mustafa Kemal Atatürk Spor Merkezi Tesis Yöneticisi"	"0280"
"76"	"23"	"Mustafa Kemal Atatürk Spor Merkezi Danışma"	"1881"
"77"	"23"	"Mustafa Kemal Atatürk Spor Merkezi Teknik İşler "	"0285"
"78"	"23"	"Erdal İnönü Kapalı Yüzme Havuzu Tesis Yöneticisi"	"0250"
"79"	"23"	"Erdal İnönü Kapalı Yüzme Havuzu Danışma"	"1919"
"80"	"23"	"Zübeyde Hanım Çok Amaçlı Balo ve Kokteyl Salonu Tesis Yöneticisi"	"1923"
"81"	"23"	"Zübeyde Hanım Çok Amaçlı Balo ve Kokteyl Salonu Garson"	"1923"
"82"	"23"	"İş ve İstihdam Büro Sorumlusu"	"3755"
"83"	"23"	"İş ve İstihdam Sorumlusu Büro Elemanı"	"3751"
"84"	"27"	"Müdür"	"3700"
"85"	"27"	"Müdüriyet/Sekreterlik"	"3701"
"86"	"27"	"Üst Sorumlu"	"3705"
"87"	"27"	"Puantaj/Evrak"	"3719"
"88"	"27"	"İdari ve Mali İşler"	"3717"
"89"	"27"	"Çocuk Hizmetleri Bürosu"	"3710"
"90"	"27"	"Taşınır Kayıt Bürosu"	"3715"
"91"	"21"	"Müdürlük Sekteryası"	"4423399 2401"
"92"	"21"	"İdari İşler Evrak Kayıt Bürosu"	"4423399 2425"
"93"	"21"	"İhale ve Satın Alma Bürosu"	"4423399 2426"
"94"	"21"	"Halkla İlişkiler Bürosu"	"4423399 2430"
"95"	"21"	"Bitkisel Uygulama Ağaç Budama "	"4423399 2454"
"96"	"21"	"Bitkisel Uygulama Çiçek Dikim "	"4423399 2455"
"97"	"21"	"Mutlukent Kent Bostan                                                                                 "	"312 235 3973"
"98"	"21"	"Ata Kent Bostan                                      "	""
"99"	"10"	"Müdür-Üst Sorumlu"	"1701"
"100"	"10"	"Sıhhi Büro"	"1721, 1722, 1720"
"101"	"10"	"Gsm ve Uaiey Büro"	"1750, 1714, 1717"
"102"	"10"	"Sıhhi Ruhsat Çıktı Mı "	"1731"
"103"	"10"	"Evrak"	"1741"
"104"	"10"	"Talep Şikayet"	"1741"
"105"	"10"	"Hoşgeldiniz Masası"	"0146, 0147"
"106"	"10"	"Heyet"	"1713, 1754, 1756"
"107"	"9"	"İdari ve Mali İşler Büro Sorumlusu"	"691"
"108"	"9"	"Sekreter"	"601"
"109"	"9"	"İdari İşler/Tekniker"	"693"
"110"	"9"	"İdari İşler/Taşınır Kontrol Yetkilisi"	"0693, 0662"
"111"	"18"	"Müdüriyet (Sekreterlik)"	"3401,  3402"
"112"	"18"	"Telsiz Merkezi"	"3436"
"113"	"18"	"Kızılay Ali Sami Ersever Zab. Mrkz. Amirliği "	"3452,  3453,  3454,  3455"
"114"	"18"	"Balgat Muhsin Çelik Zab. Mrkz. Amirliği "	"3458,  3459,  3460"
"115"	"18"	"Dikmen  Ferhat Turp Zab. Mrkz. Amirliği "	"3461,  3462"
"116"	"18"	"Yıldız Müslüm Ballıktaş Zab. Mrkz. Amirliği "	"3463,  3464"
"117"	"18"	"Esat Hüseyin Bozkurt Zab. Mrkz. Amirliği "	"3465,  3466"
"118"	"18"	"Ümitköy Zab. Mrkz. Amirliği"	"3467,  3468"
"119"	"26"	"Birim Başkanı"	"1400"
"120"	"26"	"İç Denetçi"	"1404, 1406, 1408, 1409"
"124"	"26"	"Sekreterlik"	"1401"
"125"	"26"	"Çay Ocağı"	"1410"
"126"	"7"	"Sekreterlik"	"1101"
"127"	"7"	"Üst Sorumlu"	"1103"
"128"	"7"	"İdari İşler Birimi"	"1110, 1111, 1112, 1191"
"129"	"7"	"İhale Birimi"	"1119, 1133"
"130"	"7"	"Taşınır Kayıt Birimi"	"1145"
"131"	"7"	"Araştırma Planlama Birimi"	"1146"
"132"	"7"	"Planlama Koordinasyon Birimi "	"1143"
"133"	"7"	"Halk Kart Birimi"	"1172, 1173"
"134"	"7"	"Sosyal Projeler-Süt Yardımı"	"1174"
"135"	"7"	"Öğrenci Burs/Süt Yardımı"	"1175"
"136"	"7"	"Şehit ve Gaziler Yardımı"	"1183"
"137"	"7"	"Sağlık Kart"	"1169"
"138"	"7"	"Hoş Geldin Bebek"	"1199"
"139"	"7"	"Hasta Kayıt"	"1160"
"140"	"7"	"Hemşire Odası"	"1167"
"141"	"7"	"Doktor Odası"	"1168"
"142"	"7"	"Gıda Kart Yardımı"	"1140"
"143"	"7"	"Yüzüncü Yıl Diş Polikliniği"	"1192"
"144"	"7"	"Nusret Fişek Diş Polikliniği"	"4830, 4831, 4832"
"145"	"7"	"Evde Sağlık"	"1179"
"146"	"7"	"Evde Temizlik"	"1190"
"147"	"7"	"Aşık veysel Engesiz Yaşam Merkezi"	"3351, 3352"
"148"	"7"	"Karapınar Sağlıklı Yaşam Merkezi"	"1185"
"149"	"7"	"Karapınar Sağlıklı Yaşam Merkezi Diş Polikliniği"	"1184"
"150"	"7"	"Sokullu Baharevi"	"3375"
"151"	"22"	"Sekreterlik"	"2101"
"152"	"22"	"İdari ve Mali İşler Bürosu"	"2114, 2120"
"153"	"22"	"Arşiv"	"2124"
"154"	"22"	"Yıkım ve Uygulama Bürosu"	"2127, 2141, 2145, 2166"
"155"	"22"	"Kontrol ve Denetim Bürosu"	"2121, 2131, 2133, 2134, 2135, 2144"
"156"	"22"	"Riskli Yapı İnceleme ve Uygulama Bürosu"	"2122, 2123"
"157"	"22"	"Keşif ve İhale Bürosu"	"2126, 2128"
"158"	"24"	"Müdür"	"2300"
"159"	"24"	"Üst Sorumlu"	"2305"
