"id"	"title"	"image_url"	"published_at"	"created_at"
"1"	"Çankaya'da Oryanting Mücadelesi"	"https://www.cankaya.bel.tr/uploads/images/oryanting1_1762156783_f1yy3WDq.webp"	"3/11/2025 00:00:00"	"3/11/2025 13:11:58"
"2"	"Çankaya’dan “Sıcak” Günaydın"	"https://www.cankaya.bel.tr/uploads/images/corba03112025a_1762156501_nx5dTABV.webp"	"3/11/2025 00:00:00"	"3/11/2025 13:11:58"
"3"	"Çankaya Parklarında Kapsamlı Yenileme Çalışması"	"https://www.cankaya.bel.tr/uploads/images/parklar1-3112025_1762147508_zfgPhbet.jpg"	"3/11/2025 00:00:00"	"3/11/2025 13:11:58"
"4"	"Harf Devrimi'nin 97. Yılı Çankaya'da Kutlandı"	"https://www.cankaya.bel.tr/uploads/images/dildernegi1_1762147222_oibtHF9I.webp"	"3/11/2025 00:00:00"	"3/11/2025 13:11:58"
"5"	"Kasım Ayı Çankaya'da Sanatla Dolu Geçecek"	"https://www.cankaya.bel.tr/uploads/images/sanatkasim1_1761899094_RHj1wIS1.webp"	"31/10/2025 00:00:00"	"3/11/2025 13:11:58"
"6"	"Çankaya, AB'nin Adil İklim Uyumu Projesinde Pilot Bölge Seçildi"	"https://www.cankaya.bel.tr/uploads/images/bademlidere_1761898265_o4MmAi1U.jpg"	"31/10/2025 00:00:00"	"3/11/2025 13:11:58"
"7"	"Vergi Ödemelerinin Son Günü 1 Aralık 2025"	"https://www.cankaya.bel.tr/uploads/images/vergi31102025_d_1761897709_saDh4LrV.webp"	"31/10/2025 00:00:00"	"3/11/2025 13:11:58"
"8"	"Cumhuriyet 102 Yaşında"	"https://www.cankaya.bel.tr/uploads/images/etkinlikler30102025c_1761811974_OBuc8G8h.webp"	"30/10/2025 00:00:00"	"3/11/2025 13:11:58"
"9"	"Devletin Temellerinin Atıldığı ve Sanatın Yüceltildiği Yer: Çankaya"	"https://www.cankaya.bel.tr/uploads/images/cumhuriyet_29102025_k_1761751313_vjb77NWQ.jpg"	"29/10/2025 00:00:00"	"3/11/2025 13:11:58"
"10"	"Esaretin Bedeli Çankaya’da Sahne Aldı"	"https://www.cankaya.bel.tr/uploads/images/tiyatro29102025b_1761749513_TYaw56Tb.webp"	"29/10/2025 00:00:00"	"3/11/2025 13:11:58"
