"id"	"gun"	"tarih"	"yemek"	"kalori"
"218"	"Çarşamba"	"24/9/2025"	"EZOGELİN ÇORBASI"	"0"
"219"	"Çarşamba"	"24/9/2025"	"SEBZELİ ET TAVA"	"0"
"220"	"Çarşamba"	"24/9/2025"	"BULGUR PİLAVI"	"0"
"221"	"Çarşamba"	"24/9/2025"	"KOMPOSTO"	"0"
"222"	"Perşembe"	"25/9/2025"	"SEBZE ÇORBASI"	"0"
"223"	"Perşembe"	"25/9/2025"	"ÇÖKERTME KÖFTE"	"0"
"224"	"Perşembe"	"25/9/2025"	"TEREYAĞLI ERİŞTE"	"0"
"225"	"Perşembe"	"25/9/2025"	"AŞURE"	"0"
"226"	"Cuma"	"26/9/2025"	"ŞEHRİYE ÇORBASI"	"0"
"227"	"Cuma"	"26/9/2025"	"HÜNKAR BEĞENDİ"	"0"
"228"	"Cuma"	"26/9/2025"	"PİRİNÇ PİLAVI"	"0"
"229"	"Cuma"	"26/9/2025"	"ÇOBAN SALATASI"	"0"
"269"	"Salı"	"30/9/2025"	"DOMATES ÇORBASI"	"160"
"270"	"Salı"	"30/9/2025"	"FIRIN PİLİÇ BUT"	"380"
"271"	"Salı"	"30/9/2025"	"SEBZELİ PİRİNÇ PİLAVI"	"390"
"272"	"Salı"	"30/9/2025"	"TATLI"	"380"
"273"	"Çarşamba"	"1/10/2025"	"MISIR ÇORBASI"	"160"
"274"	"Çarşamba"	"1/10/2025"	"PÜRELİ ROSTO KÖFTE"	"460"
"275"	"Çarşamba"	"1/10/2025"	"BULGUR PİLAVI"	"360"
"276"	"Çarşamba"	"1/10/2025"	"MEYVE"	"80"
"277"	"Perşembe"	"2/10/2025"	"TAVUK SUYU ÇORBASI"	"160"
"278"	"Perşembe"	"2/10/2025"	"ETLİ BÖREK"	"410"
"279"	"Perşembe"	"2/10/2025"	"ZEYTİNYAĞLI TAZE FASULYE"	"220"
"280"	"Perşembe"	"2/10/2025"	"AYRAN"	"90"
"281"	"Cuma"	"3/10/2025"	"MERCİMEK  ÇORBASI"	"160"
"282"	"Cuma"	"3/10/2025"	"PATLICAN KEBAP"	"410"
"283"	"Cuma"	"3/10/2025"	"PİRİNÇ PİLAVI"	"390"
"284"	"Cuma"	"3/10/2025"	"CACIK"	"105"
"293"	"Pazartesi"	"6/10/2025"	"YOĞURTLU YARMA ÇORBASI"	"160"
"294"	"Pazartesi"	"6/10/2025"	"PATATESLİ DİZME KÖFTE KÖFTE"	"380"
"295"	"Pazartesi"	"6/10/2025"	"CEVİZLİ ERİŞTE"	"420"
"296"	"Pazartesi"	"6/10/2025"	"YEŞİL SALATA"	"70"
"297"	"Salı"	"7/10/2025"	"ŞEHRİYE ÇORBASI"	"160"
"298"	"Salı"	"7/10/2025"	"PİLİÇ BAGET"	"350"
"299"	"Salı"	"7/10/2025"	"PİRİNÇ PİLAVI"	"390"
"300"	"Salı"	"7/10/2025"	"AYRAN"	"90"
"422"	"Çarşamba"	"8/10/2025"	"ALACA ÇORBASI"	"160"
